Codi d'Informació,Unitat,Adreça,Codi postal,Municipi,Codi municipi,Utm_x,Utm_y,Latitud,Longitud,Georeferència
17833,Policia Local de Parets del Vallès,"Av. de Lluís Companys, 19",08150,Parets del Vallès,81593,435914.5257352838,4602573.5157826645,41.572275591,2.231314474,POINT (2.231314474 41.572275591)
17737,Policia Local de Banyoles,"Pg. de la Farga, 84",17820,Banyoles,170157,481476.832,4662614.1,42.115406543,2.775932582,POINT (2.775932582 42.115406543)
17879,Policia Local de Sant Sadurní d'Anoia,"Pl. de l' Ajuntament, 1",08770,Sant Sadurní d'Anoia,82401,398620.3753117715,4586546.969904658,41.424089412,1.786758362,POINT (1.786758362 41.424089412)
17739,Guàrdia Urbana de Barcelona,"C. de la Guàrdia Urbana, 3",08004,Barcelona,80193,429247.4460479251,4580385.68296864,41.371977557,2.153989965,POINT (2.153989965 41.371977557)
17863,Policia Local de Sant Climent de Llobregat,"Trv. de Prat de la Riba, 31",08849,Sant Climent de Llobregat,82042,416141.46723913436,4576762.766793402,41.337990343,1.997758643,POINT (1.997758643 41.337990343)
17898,Policia Local de Sils,"Pl. de l' Estació, s/n",17410,Sils,171931,478802.30463957094,4628459.449505179,41.807720224,2.74481055,POINT (2.74481055 41.807720224)
17899,Policia Local de Sitges,"C. de Samuel Barrachina, s/n, cantonada Pg. de  Ronda",08870,Sitges,82704,400276.2990985286,4566279.384916912,41.241771585,1.809898242,POINT (1.809898242 41.241771585)
17731,Policia Local d'Arenys de Munt,"Rbla. Sant Martí, 19",08358,Arenys de Munt,80076,461717.86042348656,4606485.472064644,41.609196841,2.540578415,POINT (2.540578415 41.609196841)
17907,Policia Local de Tona,"C. de la Font, 8-10",08551,Tona,82830,436046.5398599762,4633403.105580015,41.849947458,2.229560796,POINT (2.229560796 41.849947458)
17821,Policia Local de Móra d'Ebre,"Pl. de Baix, 1",43740,Móra d'Ebre,430939,301934.313585505,4551776.481602643,41.093138745,0.641690552,POINT (0.641690552 41.093138745)
17738,Policia Local de Barberà del Vallès,"Av. de la Verge de Montserrat, 60",08210,Barberà del Vallès,82520,426852.16535650793,4596204.072668119,41.514132258,2.123400886,POINT (2.123400886 41.514132258)
17812,Guàrdia Urbana de Molins de Rei,"C. de Rubió i Ors, 8",08750,Molins de Rei,81234,417761.1667696503,4584936.626176872,41.411773679,2.016004928,POINT (2.016004928 41.411773679)
17749,Policia Local de Cadaqués,"C. de Carles Rahola, 9",17488,Cadaqués,170329,523215.32468034426,4682255.927928147,42.292180655,3.281610481,POINT (3.281610481 42.292180655)
17797,Policia Local de Llançà,"C. de la Selva, 17",17490,Llançà,170926,512587.64318490954,4690029.486618184,42.362434362,3.152862808,POINT (3.152862808 42.362434362)
17798,Guàrdia Urbana de Lleida,"C. de Salmerón, 1",25004,Lleida,251207,302124.538089898,4610453.05613302,41.621273413,0.624821671,POINT (0.624821671 41.621273413)
17915,Policia Local de Tremp,"Pl. de la Creu, 1",25620,Tremp,252347,326211.87871129793,4670456.321400577,42.166960056,0.896094978,POINT (0.896094978 42.166960056)
17795,Policia Local de la Llagosta,"Pg. del Pintor Sert, s/n",08120,La Llagosta,81056,432940.118,4595840.405,41.511443079,2.19634743,POINT (2.19634743 41.511443079)
17764,Policia Local de Castellar del Vallès,"C. de Sant Llorenç, 7",08211,Castellar del Vallès,80517,423984.609,4607932.47,41.619493582,2.087555327,POINT (2.087555327 41.619493582)
