ANY,PROVINCIA,COMARCA,CDMUN,MUNICIPI,SECTOR,Consum [kWh PCS],Observacions
2022,GIRONA,GIRONES,17002,AIGUAVIVA,INDUSTRIAL,23539402,
2022,GIRONA,GIRONES,17002,AIGUAVIVA,TERCIARI,761879,
2022,GIRONA,GIRONES,17002,AIGUAVIVA,USOS DOMESTICS,1049126,
2022,GIRONA,GARROTXA,17010,ARGELAGUER,INDUSTRIAL,,Dades subjectes a secret estadístic.
2022,GIRONA,GARROTXA,17010,ARGELAGUER,PRIMARI,,Dades subjectes a secret estadístic.
2022,GIRONA,GARROTXA,17010,ARGELAGUER,TERCIARI,271872,
2022,GIRONA,GARROTXA,17010,ARGELAGUER,USOS DOMESTICS,931331,
2022,GIRONA,BAIX EMPORDA,17013,BEGUR,USOS DOMESTICS,239189,
2022,GIRONA,PLA DE L'ESTANY,17015,BANYOLES,INDUSTRIAL,,Dades subjectes a secret estadístic.
2022,GIRONA,PLA DE L'ESTANY,17015,BANYOLES,TERCIARI,13020170,
2022,GIRONA,PLA DE L'ESTANY,17015,BANYOLES,USOS DOMESTICS,38699156,
2022,GIRONA,BAIX EMPORDA,17018,BELLCAIRE D'EMPORDA,TERCIARI,,Dades subjectes a secret estadístic.
2022,GIRONA,BAIX EMPORDA,17018,BELLCAIRE D'EMPORDA,USOS DOMESTICS,1518227,
2022,GIRONA,GARROTXA,17019,BESALU,TERCIARI,800823,
2022,GIRONA,GARROTXA,17019,BESALU,USOS DOMESTICS,6425820,
2022,GIRONA,GIRONES,17020,BESCANO,TERCIARI,1402355,
2022,GIRONA,GIRONES,17020,BESCANO,USOS DOMESTICS,7917606,
2022,GIRONA,GARROTXA,17021,BEUDA,INDUSTRIAL,,Dades subjectes a secret estadístic.
2022,GIRONA,BAIX EMPORDA,17022,"BISBAL D'EMPORDA, LA",INDUSTRIAL,,Dades subjectes a secret estadístic.
2022,GIRONA,BAIX EMPORDA,17022,"BISBAL D'EMPORDA, LA",TERCIARI,2624653,
2022,GIRONA,BAIX EMPORDA,17022,"BISBAL D'EMPORDA, LA",USOS DOMESTICS,19875933,
2022,GIRONA,SELVA,17023,BLANES,INDUSTRIAL,,Dades subjectes a secret estadístic.
2022,GIRONA,SELVA,17023,BLANES,TERCIARI,17199835,
2022,GIRONA,SELVA,17023,BLANES,USOS DOMESTICS,69616711,
2022,GIRONA,GIRONES,17025,BORDILS,TERCIARI,,Dades subjectes a secret estadístic.
2022,GIRONA,GIRONES,17025,BORDILS,USOS DOMESTICS,4095965,
2022,GIRONA,SELVA,17027,BREDA,INDUSTRIAL,3018213,
2022,GIRONA,SELVA,17027,BREDA,TERCIARI,331006,
2022,GIRONA,SELVA,17027,BREDA,USOS DOMESTICS,6628631,
2022,GIRONA,SELVA,17033,CALDES DE MALAVELLA,INDUSTRIAL,4894472,
2022,GIRONA,SELVA,17033,CALDES DE MALAVELLA,TERCIARI,6583347,
2022,GIRONA,SELVA,17033,CALDES DE MALAVELLA,USOS DOMESTICS,15588032,
2022,GIRONA,BAIX EMPORDA,17034,CALONGE I SANT ANTONI,TERCIARI,3730205,
2022,GIRONA,BAIX EMPORDA,17034,CALONGE I SANT ANTONI,USOS DOMESTICS,20607801,
2022,GIRONA,PLA DE L'ESTANY,17035,CAMOS,TERCIARI,,Dades subjectes a secret estadístic.
2022,GIRONA,PLA DE L'ESTANY,17035,CAMOS,USOS DOMESTICS,572323,
2022,GIRONA,RIPOLLES,17036,CAMPDEVANOL,INDUSTRIAL,4738326,
2022,GIRONA,RIPOLLES,17036,CAMPDEVANOL,TERCIARI,2231379,
2022,GIRONA,RIPOLLES,17036,CAMPDEVANOL,USOS DOMESTICS,7711208,
2022,GIRONA,GIRONES,17038,CAMPLLONG,TERCIARI,,Dades subjectes a secret estadístic.
2022,GIRONA,GIRONES,17038,CAMPLLONG,USOS DOMESTICS,736446,
2022,GIRONA,GIRONES,17044,CASSA DE LA SELVA,INDUSTRIAL,,Dades subjectes a secret estadístic.
2022,GIRONA,GIRONES,17044,CASSA DE LA SELVA,TERCIARI,2979049,
2022,GIRONA,GIRONES,17044,CASSA DE LA SELVA,USOS DOMESTICS,18693991,
2022,GIRONA,GARROTXA,17046,CASTELLFOLLIT DE LA ROCA,TERCIARI,1067709,
2022,GIRONA,GARROTXA,17046,CASTELLFOLLIT DE LA ROCA,USOS DOMESTICS,2433622,
2022,GIRONA,ALT EMPORDA,17047,CASTELLO D'EMPURIES,TERCIARI,1194569,
2022,GIRONA,ALT EMPORDA,17047,CASTELLO D'EMPURIES,USOS DOMESTICS,7647445,
2022,GIRONA,BAIX EMPORDA,17048,CASTELL-PLATJA D'ARO,TERCIARI,13265128,
2022,GIRONA,BAIX EMPORDA,17048,CASTELL-PLATJA D'ARO,USOS DOMESTICS,23509830,
2022,GIRONA,GIRONES,17049,CELRA,INDUSTRIAL,69871308,
2022,GIRONA,GIRONES,17049,CELRA,TERCIARI,1951167,
2022,GIRONA,GIRONES,17049,CELRA,USOS DOMESTICS,12774135,
2022,GIRONA,PLA DE L'ESTANY,17056,CORNELLA DEL TERRI,INDUSTRIAL,35997805,
2022,GIRONA,PLA DE L'ESTANY,17056,CORNELLA DEL TERRI,TERCIARI,465766,
2022,GIRONA,PLA DE L'ESTANY,17056,CORNELLA DEL TERRI,USOS DOMESTICS,3444759,
