Número registre,Nom establiment,Codi tipus establiment,Tipus establiment,Codi establiment pare,Titular,Telèfon,Codi tipus de via,Tipus de via,Nom de la via,Número de la via,Quilòmetre,Bloc,Portal,Escala,Pis,Porta,Codi postal,Codi municipi,Municipi,Article municipi,Codi comarca,Comarca,Codi província,Província,Codi ABS,ABS,Codi sector sanitari,Sector sanitari,Codi regió sanitària,Regió sanitària,Longitud,Latitud,Georeferència
R25000226,MALDA,R,Farmaciola,F25004421,,,CR,CARRER,JESUS,26,,,,,,,25266,25130,MALDÀ,,38,URGELL,25,LLEIDA,081,Bellpuig,6156,Lleida,61,Lleida,1.039757013,41.550737554,POINT (1.039757013 41.550737554)
A08556020,ORTOPEDIA COLÓN,A,Audiopròtesi,,Joan Vivas Ballabriga,607585831,AV,AVINGUDA,ROMANI,65,,,,,,,08370,08035,CALELLA,,21,MARESME,08,BARCELONA,090,Calella,6462,Girona Sud,64,Girona,2.657592148,41.6142565,POINT (2.657592148 41.6142565)
V43544970,ÒPTICA SALAS,V,Òptica,,"OPTICA SALAS, S.L.",977781306,CR,CARRER,JAUME MERCADE,1,,,,,,,43800,43161,VALLS,,01,ALT CAMP,43,TARRAGONA,263,Valls urbà,6257,Alt Camp - Conca de Barberà,62,Camp de Tarragona,1.251002448,41.28582096,POINT (1.251002448 41.28582096)
F17002470,"TABERNER MUNDET, M. LOURDES",F,Farmàcia,,"TABERNER MUNDET, LOURDES",972511266,CR,CARRER,SANTA LLOGAIA,15-17,,,,,,,17600,17066,FIGUERES,,02,ALT EMPORDA,17,GIRONA,119,Figueres,6461,Girona Nord,64,Girona,2.96061544,42.262723368,POINT (2.96061544 42.262723368)
V43554714,HERRERO ÒPTIC,V,Òptica,,,,CR,CARRER,CERVANTES,9,,,,,BX,,43500,43155,TORTOSA,,09,BAIX EBRE,43,TARRAGONA,255,Tortosa - 1 Est,6360,Terres de l'Ebre,63,Terres de l'Ebre,0.523203157,40.858552925,POINT (0.523203157 40.858552925)
V08513482,INTERÒPTICA,V,Òptica,,,,CR,CARRER,MARTIRS DEL SETGE DE,1714,,,,,,,0,08089,GAVÀ,,11,BAIX LLOBREGAT,08,BARCELONA,,,,,,,2.005697187,41.305025782,POINT (2.005697187 41.305025782)
V25510883,"LLEIDÒPTICS, S.L.",V,Òptica,,,,CR,CARRER,ALCADE PORQUERES,23,,,,,,,0,25120,LLEIDA,,33,SEGRIA,25,LLEIDA,,,,,,,0.622841186,41.622720763,POINT (0.622841186 41.622720763)
V17505562,ÒPTICA 2000,V,Òptica,,GRANDVISION SPAIN GRUPO ÓPTICO SAU,972243616,CT,CARRETERA,BARCELONA,106-110,,,,,,,0,17079,GIRONA,,20,GIRONES,17,GIRONA,000,No informat,0000,Desconegut,00,No informat,2.814657783,41.971300671,POINT (2.814657783 41.971300671)
R25000057,ALMATRET,R,Farmaciola,F25014444,,------,CR,CARRER,MAJOR,18,,,,,,,25187,25020,ALMATRET,,33,SEGRIA,25,LLEIDA,232,Seròs,6156,Lleida,61,Lleida,0.422899293,41.305913867,POINT (0.422899293 41.305913867)
A08738535,ARRECIFE AUDIOLOGIA,A,Audiopròtesi,,ESTER REMUJO ODENA,651998219,CR,CARRER,VALÈNCIA,238,,,,,,,08007,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,025,Barcelona - 02E,7851,Barcelona Eixample,78,Barcelona,2.160460026,41.390406428,POINT (2.160460026 41.390406428)
