any;municipi;concepte;indicador;estat;valor
2020;Abrera;renda familiar disponible bruta;valor (milers €);p;224030
2020;Abrera;renda familiar disponible bruta;per habitant (€);p;17925
2020;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;102,1
2020;Agramunt;renda familiar disponible bruta;valor (milers €);p;83383
2020;Agramunt;renda familiar disponible bruta;per habitant (€);p;15374
2020;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;87,6
2020;Aiguafreda;renda familiar disponible bruta;valor (milers €);p;47358
2020;Aiguafreda;renda familiar disponible bruta;per habitant (€);p;18721
2020;Aiguafreda;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;106,7
2020;Aitona;renda familiar disponible bruta;valor (milers €);p;29910
2020;Aitona;renda familiar disponible bruta;per habitant (€);p;11996
2020;Aitona;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;68,3
2020;Albatàrrec;renda familiar disponible bruta;valor (milers €);p;28263
2020;Albatàrrec;renda familiar disponible bruta;per habitant (€);p;12861
2020;Albatàrrec;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;73,3
2020;Albesa;renda familiar disponible bruta;valor (milers €);p;22070
2020;Albesa;renda familiar disponible bruta;per habitant (€);p;14337
2020;Albesa;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;81,7
2020;Albinyana;renda familiar disponible bruta;valor (milers €);p;35698
2020;Albinyana;renda familiar disponible bruta;per habitant (€);p;14426
2020;Albinyana;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;82,2
2020;Alcanar;renda familiar disponible bruta;valor (milers €);p;128523
2020;Alcanar;renda familiar disponible bruta;per habitant (€);p;13325
2020;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;75,9
2020;Alcarràs;renda familiar disponible bruta;valor (milers €);p;126608
2020;Alcarràs;renda familiar disponible bruta;per habitant (€);p;13255
2020;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;75,5
2020;Alcoletge;renda familiar disponible bruta;valor (milers €);p;50485
2020;Alcoletge;renda familiar disponible bruta;per habitant (€);p;14791
2020;Alcoletge;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;84,3
2020;Alcover;renda familiar disponible bruta;valor (milers €);p;79740
2020;Alcover;renda familiar disponible bruta;per habitant (€);p;15385
2020;Alcover;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;87,6
2020;Aldea, l';renda familiar disponible bruta;valor (milers €);p;55195
2020;Aldea, l';renda familiar disponible bruta;per habitant (€);p;13278
2020;Aldea, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);p;75,6
2020;Alella;renda familiar disponible bruta;valor (milers €);p;259618
2020;Alella;renda familiar disponible bruta;per habitant (€);p;26422
2020;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;150,5
2020;Alfarràs;renda familiar disponible bruta;valor (milers €);p;39360
2020;Alfarràs;renda familiar disponible bruta;per habitant (€);p;14460
2020;Alfarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;82,4
