MUNICIPIOS,TOTAL,HOMBRES(<25),HOMBRES(25-44),HOMBRES(>44),MUJERES(<25),MUJERES(25-44),MUJERES(>44),AGRICULTURA,INDUSTRIA,CONSTRUCCION,SERVICIOIS,SIN_EMPLEO_ANTERIOR
ABRERA,680,33,122,136,34,152,203,6,92,41,516,25
AGUILAR DE SEGARRA,12, ,1,3, ,1,7, , ,1,11, 
AIGUAFREDA,129,7,25,39,3,20,35,5,24,7,83,10
ALELLA,296,13,39,78,12,60,94,3,21,23,239,10
ALPENS,9, ,2,3, ,1,3, ,4,1,4, 
"AMETLLA DEL VALLES, L'",355,16,50,82,14,71,122,1,54,26,261,13
ARENYS DE MAR,982,33,161,232,25,216,315,14,102,57,762,47
ARENYS DE MUNT,511,25,81,117,11,109,168,5,65,33,389,19
ARGENÇOLA,11, ,1,2, ,4,4, ,2,1,8, 
ARGENTONA,683,37,125,137,25,137,222,9,101,57,477,39
ARTES,292,9,53,54,15,65,96,19,50,17,190,16
AVIA,75,1,14,12,2,16,30,2,11,3,56,3
AVINYO,90,6,9,27,2,12,34,1,23,3,60,3
AVINYONET DEL PENEDES,94,6,21,30, ,10,27,2,18,11,58,5
BADALONA,16.938,736,3.102,3.833,590,3.809,4.868,66,1.569,1.603,12.201,1.499
BADIA DEL VALLES,1.340,80,257,290,57,300,356,7,150,120,944,119
BAGA,103,1,17,27,1,23,34,1,11,7,82,2
BALENYA,253,11,57,42,8,40,95,6,44,16,169,18
BALSARENY,165,5,27,38,4,35,56,2,45,12,101,5
BARBERA DEL VALLES,2.044,100,358,398,83,483,622,12,308,124,1.471,129
BARCELONA,96.227,3.268,20.527,21.713,2.771,23.292,24.656,407,6.083,5.333,79.368,5.036
BEGUES,285,19,44,57,12,61,92,2,21,20,231,11
BELLPRAT,2, ,1, ,1, , , , , ,1,1
BERGA,1.157,57,214,276,32,222,356,20,163,115,760,99
BIGUES I RIELLS,539,20,72,116,17,106,208,3,91,41,380,24
BORREDA,24,3,1,8, ,4,8, ,4, ,19,1
"BRUC, EL",84,3,15,18,2,20,26, ,14,4,64,2
"BRULL, EL",12,1,9,1, , ,1,1,2,2,6,1
"CABANYES, LES",31, ,4,2,1,8,16, ,6, ,24,1
CABRERA D'ANOIA,138,12,21,21,5,30,49,9,9,13,100,7
CABRERA DE MAR,194,5,38,54,4,33,60,3,19,8,158,6
CABRILS,310,17,45,88,5,49,106,2,39,22,229,18
CALAF,260,9,36,57,8,68,82,13,38,30,140,39
CALDERS,41,1,8,8,1,11,12, ,6,4,30,1
CALDES DE MONTBUI,1.002,35,158,231,26,199,353,18,183,73,696,32
CALDES D'ESTRAC,167,6,40,36,5,27,53,1,7,7,139,13
CALELLA,1.548,80,260,381,50,311,466,44,110,121,1.183,90
CALLDETENES,81,4,16,22,3,19,17,2,20,9,44,6
CALLUS,114,8,17,31,2,22,34,3,17,4,84,6
CALONGE DE SEGARRA,5, ,1, , ,3,1, ,1,1,2,1
CAMPINS,27, ,4,6, ,7,10,1,8,2,14,2
CANET DE MAR,951,40,172,217,25,191,306,10,112,72,710,47
CANOVELLES,1.556,80,280,346,62,393,395,36,207,152,964,197
CANOVES I SAMALUS,190,1,39,40,6,37,67,1,27,12,145,5
CANYELLES,352,14,62,94,17,73,92,5,34,32,268,13
CAPELLADES,350,19,66,79,11,73,102,4,59,23,240,24
CAPOLAT,4, ,1,1, ,1,1, , , ,4, 
CARDEDEU,991,44,170,183,30,224,340,17,157,61,705,51
CARDONA,218,9,30,42,13,42,82,9,30,20,147,12
CARME,61,3,13,9, ,16,20, ,14,1,42,4
CASSERRES,84,3,13,20, ,25,23,6,17,5,56, 
CASTELLAR DEL RIU,4, , ,3, , ,1, ,2, ,2, 
CASTELLAR DEL VALLES,1.253,42,196,277,44,237,457,9,212,110,873,49
CASTELLAR DE N'HUG,19,2,1,9,1,2,4, ,2, ,17, 
CASTELLBELL I EL VILAR,258,14,39,65,6,63,71,1,55,25,166,11
